Mercedes-Benz ,G-Class ,III (W463) 2018 – now ,
Peugeot ,RCZ ,I 2010 – 2012 ,
Honda ,Odyssey ,II 1999 – 2003 ,
Lexus ,LM ,I 2019 – now ,
Lexus ,IS ,III Restyling 2016 – now ,
Smart ,Fortwo ,I 1998 – 2004 ,
GAZ ,69,1953 – 1972 ,
Subaru ,Outback ,III Restyling 2006 – 2009 ,
Fiat ,500,II Restyling 2015 – now ,
Subaru ,Outback ,II 1998 – 2004 ,
Lamborghini ,Urus ,I 2017 – now ,
Kia ,Carnival ,I Restyling 2002 – 2006 ,
GAZ ,24 «Volga» ,I (24) 1968 – 1987 ,
GAZ ,21 «Volga» ,1956 – 1970 ,
Toyota ,Tundra ,II Restyling 2013 – now ,
LyAZ ,967,1965 – 1989 ,
Rover ,600,1993 – 1999 ,
Audi ,R8 ,I (Typ 42) 2007 – 2012 ,
Nissan ,GT-R ,I Restyling 1 2010 – 2014 ,
Ferrari ,612,2004 – 2011 ,
Toyota ,GT86 ,I 2012 – 2016 ,
Renault ,Laguna ,III 2007 – 2012 ,
Chevrolet ,Van ,1971 – 1996 ,
Renault ,Espace ,IV Restyling 2006 – 2012 ,
Lexus ,GS ,III 2004 – 2007 ,
Mercedes-Benz ,SLK-Class ,I (R170) Restyling 2000 – 2004 ,
GAZ ,3102 «Volga» ,1982 – 2009 ,
Skoda ,Felicia ,I Restyling 1998 – 2001 ,
TagAZ ,Aquila ,I 2012 – 2014 ,
Ford ,Ranger ,II Restyling 2009 – 2011 ,
Nissan ,Skyline ,X (R34) 1998 – 2002 ,
Infiniti ,FX ,I (S50) 2002 – 2006 ,
Opel ,Omega ,B Restyling 1999 – 2004 ,
Toyota ,Supra ,IV (A80) 1993 – 1996 ,
Toyota ,Vellfire ,I 2008 – 2015 ,
ZAZ ,965,1960 – 1970 ,
McLaren ,720S ,2017 – now ,
Ford ,Bronco ,V 1992 – 1996 ,
Audi ,TT ,III (8S) 2014 – 2019 ,
Lexus ,CT ,I 2010 – 2014 ,
Hyundai ,Galloper ,II 1997 – 2003 ,
Maserati ,GranTurismo ,2007 – 2019 ,
YAZ ,469,1972 – 2011 ,
Toyota ,Celica ,V (T180) 1989 – 1993 ,
Ford ,Excursion ,1999 – 2005 ,
Renault ,Espace ,V 2015 – 2019 ,
BMW ,X3 ,I (E83) 2003 – 2006 ,
Hummer ,H1 ,1992 – 2006 ,
Toyota ,Supra ,III (A70) 1986 – 1993 ,
Porsche ,911,V (996) Restyling 2000 – 2005 ,
Tesla ,Model S ,I 2012 – 2016 ,
Isuzu ,VehiCross ,1997 – 2001 ,
ZX ,Landmark ,I 2005 – 2009 ,
Daewoo ,Damas ,I 1991 – 2005 ,
Dodge ,Magnum ,I 2003 – 2007 ,
Opel ,Meriva ,A 2003 – 2006 ,
Lifan ,X60 ,I Restyling 2 2016 – now ,
Mercedes-Benz ,SL-Class AMG ,II (R230) Restyling 2 2008 – 2011 ,
BMW ,M3 ,IV (E90) 2007 – 2013 ,
GAZ ,13 «Chaika» ,1959 – 1981 ,
LADA (VAZ) ,2329,1995 – 2019 ,
Alfa Romeo ,Brera ,2006 – 2010 ,
Mercedes-Benz ,SLK-Class ,I (R170) 1996 – 2000 ,
Mitsubishi ,Delica D:5 ,I 2007 – now ,
Nissan ,Patrol ,V (Y61) 1997 – 2004 ,
Ford ,S-MAX ,II 2015 – now ,
GAZ ,14 «Chaika» ,1977 – 1989 ,
Tesla ,Model 3 ,I 2017 – now ,
Renault ,Vel Satis ,I Restyling 2005 – 2009 ,
Aston Martin ,DB11 ,I 2016 – now ,
Ford ,Focus ST ,III 2012 – 2015 ,
GAZ ,31029 «Volga» ,1992 – 1998 ,
Bentley ,Flying Spur ,I 2013 – 2019 ,
Citroen ,Jumpy ,II Restyling 2012 – 2016 ,
Volvo ,940,1988 – 1998 ,
Toyota ,Land Cruiser ,100 Series Restyling 2 2005 – 2007 ,
Jeep ,Commander ,2005 – 2010 ,
Honda ,FR-V ,2004 – 2009 ,
Renault ,Clio RS ,II Restyling 2001 – 2005 ,
Alfa Romeo ,159,2005 – 2011 ,
Fiat ,Scudo ,II 2007 – 2016 ,
Cadillac ,CTS ,III 2013 – 2019 ,
Mercedes-Benz ,CLA AMG ,"I (C117, X117) 2013 – 2016 ",
GAZ ,12 ZIM ,1948 – 1960 ,
Audi ,A6 allroad ,II (C6) Restyling 2008 – 2011 ,
Fiat ,Doblo ,II 2010 – 2015 ,
Audi ,S8 ,II (D3) Restyling 2007 – 2011 ,
Nissan ,Cube ,II (Z11) 2002 – 2008 ,
Lincoln ,Navigator ,I 1997 – 2003 ,
Toyota ,Land Cruiser ,100 Series 1998 – 2002 ,
Lincoln ,Mark VII ,1984 – 1992 ,
Mitsubishi ,Lancer Evolution ,VIII 2003 – 2005 ,
Chevrolet ,Caprice ,IV 1990 – 1996 ,
Chevrolet ,Suburban ,IX 1991 – 2001 ,
Chrysler ,Pacifica ,CS 2003 – 2008 ,
Nissan ,350Z ,I Restyling 2005 – 2009 ,
Renault ,Espace ,IV 2002 – 2006 ,
Toyota ,Mark II ,VIII (X100) 1996 – 2002 ,
Toyota ,Highlander ,I (U20) Restyling 2003 – 2007 ,
Chevrolet ,Epica ,I 2006 – 2009 ,
Porsche ,911,V (996) 1997 – 2001 ,
Saab ,9-3 ,II Restyling 2007 – 2014 ,
Moskvich ,401,1954 – 1956 ,
Chevrolet ,Camaro ,II 1970 – 1981 ,
Toyota ,Alphard ,I 2002 – 2005 ,
Kia ,K5 ,I 2010 – 2013 ,
Opel ,Vectra OPC ,C Restyling 2005 – 2008 ,
Chevrolet ,Corvette ,C6 2004 – 2014 ,
Toyota ,Sera ,1990 – 1994 ,
Acura ,RDX ,I Restyling 2009 – 2012 ,
Mercedes-Benz ,A-Class AMG ,I (W176) 2013 – 2015 ,
BMW ,M5 ,III (E39) 1998 – 2003 ,
Mercedes-Benz ,Vito ,I (W638) 1996 – 2003 ,
Mitsubishi ,L200 ,IV Restyling 2013 – 2015 ,
Honda ,Prelude ,V 1996 – 2001 ,
Chery ,CrossEastar (B14) ,2006 – 2014 ,
BMW ,M2 ,F87 Restyling 2018 – now ,
Nissan ,Stagea ,I 1996 – 2001 ,
Aston Martin ,Rapide ,I (S) 2013 – now ,
Mitsubishi ,Galant ,VIII Restyling 1998 – 2006 ,
BMW ,M5 ,IV (E60/E61) 2004 – 2010 ,
Maserati ,Quattroporte ,V 2003 – 2008 ,
Chevrolet ,Silverado ,II (GMT900) 2007 – 2013 ,
Toyota ,Altezza ,1998 – 2005 ,
BMW ,3 series ,IV (E46) Restyling 2001 – 2006 ,
Mazda ,RX-7 ,III (FD) 1992 – 2002 ,
Toyota ,Chaser ,VI (X100) 1996 – 1998 ,
Hyundai ,Galloper ,I 1991 – 1997 ,
Toyota ,Celica ,VII (T230) 1999 – 2002 ,
Toyota ,Land Cruiser ,70 Series Restyling 2007 – now ,
Ford ,Mustang ,V 2004 – 2009 ,
Renault ,Espace ,III 1996 – 2002 ,
GAZ ,22 «Volga» ,1962 – 1970 ,
Chevrolet ,Tahoe ,I 1994 – 1999 ,
Mazda ,3 MPS ,II Restyling 2011 – 2013 ,
Ford ,Bronco-II ,1984 – 1990 ,
Toyota ,Soarer ,III (Z30) 1991 – 1996 ,
Maserati ,Quattroporte ,V Restyling 2008 – 2012 ,
Mazda ,RX-8 ,I 2003 – 2008 ,
Lincoln ,Navigator ,III 2006 – 2014 ,
AMC ,Eagle ,1979 – 1987 ,
Honda ,S2000 ,I (AP1) 1999 – 2003 ,
Subaru ,Impreza WRX ,II Restyling 1 2002 – 2005 ,
Mitsubishi ,Eclipse ,II 1994 – 1999 ,
Toyota ,Chaser ,VI (X100) Restyling 1998 – 2001 ,
Renault ,Talisman ,2015 – now ,
Lexus ,LX ,II 1998 – 2002 ,
Toyota ,Prius v (+) ,I Restyling (ZVW40/41) 2014 – now ,
Lincoln ,Town Car ,II 1989 – 1997 ,
Volkswagen ,Golf R ,VI 2009 – 2013 ,
Mitsubishi ,Minicab ,1999 – 2014 ,
Mercedes-Benz ,190 (W201) ,1982 – 1993 ,
Volkswagen ,Golf GTI ,VI 2008 – 2012 ,
Ford ,Puma ,I 1997 – 2003 ,
Toyota ,Avensis Verso ,I 2001 – 2003 ,
GAZ ,24 «Volga» ,II (2410) 1985 – 1992 ,
Nissan ,NV200 ,2009 – now ,
Porsche ,924,1975 – 1988 ,
Volkswagen ,Transporter ,T3 1979 – 1992 ,
Hummer ,H3 ,2005 – 2010 ,
Ferrari ,GTC4Lusso ,2016 – now ,
Toyota ,Tundra ,II 2007 – 2013 ,
Mitsubishi ,Lancer Evolution ,VI 1999 – 2001 ,
Toyota ,Sequoia ,I 2000 – 2004 ,
Audi ,RS 6 ,II (C6) 2007 – 2012 ,
Nissan ,NP300 ,2008 – 2015 ,
Volkswagen ,EuroVan ,T4 Restyling 1997 – 2003 ,
YAZ ,3151,1985 – 2013 ,
Ford ,Focus ST ,II 2005 – 2008 ,
Mercedes-Benz ,Vito ,II (W639) 2003 – 2010 ,
Mazda ,3 MPS ,I 2006 – 2009 ,
Opel ,Corsa OPC ,D 2007 – 2010 ,
Mercedes-Benz ,S-Class ,II (W126) 1979 – 1985 ,
BMW ,2 series Grand Tourer ,F46 2015 – 2018 ,
Peugeot ,RCZ ,I Restyling 2012 – 2015 ,
Honda ,Civic ,IX Restyling 2013 – 2016 ,
Mitsubishi ,Delica ,IV 1994 – 2007 ,
Volkswagen ,Transporter ,T4 1990 – 2003 ,
Toyota ,Avensis Verso ,I Restyling 2003 – 2009 ,
Mercedes-Benz ,C-Class AMG ,III (W204) Restyling 2011 – 2015 ,
Hummer ,H2 ,I 2002 – 2007 ,
Ford ,Expedition ,II 2002 – 2006 ,
Volkswagen ,Multivan ,T4 1992 – 2003 ,
Mazda ,BT-50 ,I Restyling 2008 – 2011 ,
Toyota ,Aristo ,II 1997 – 2004 ,
Moskvich ,2140,1976 – 1988 ,
Lexus ,IS ,I 1999 – 2005 ,
BMW ,M5 ,II (E34) 1988 – 1995 ,
Toyota ,Prius ,IV (XW50) 2015 – now ,
Saab ,9-3 ,II 2002 – 2008 ,
Chevrolet ,Volt ,II 2015 – 2019 ,
Ford ,Mondeo ,III 2000 – 2003 ,
Chrysler ,Pacifica ,RU 2016 – now ,
Toyota ,Prius ,II Restyling (XW20) 2005 – 2011 ,
Skoda ,Octavia RS ,II 2005 – 2008 ,
SsangYong ,Musso ,I 1993 – 1998 ,
Daimler ,X350 ,2005 – 2009 ,
Subaru ,Impreza WRX STi ,II Restyling 2 2005 – 2007 ,
Subaru ,Tribeca ,I Restyling 2007 – 2014 ,
Dodge ,Journey ,I 2007 – 2011 ,
GAZ ,M-20 «Pobeda» ,1946 – 1958 ,
Cadillac ,XT5 ,I 2016 – 2019 ,
Subaru ,WRX ,I 2014 – 2017 ,
Moskvich ,407,1958 – 1963 ,
BMW ,8 series ,I (E31) 1989 – 1999 ,
Lexus ,GS ,III Restyling 2007 – 2011 ,
Kia ,Quoris ,I Restyling 2014 – 2015 ,
Isuzu ,Axiom ,2002 – 2004 ,
Ford ,Econoline ,III 1975 – 1992 ,
Cadillac ,Seville ,V 1998 – 2004 ,
Mitsubishi ,Lancer Evolution ,VII 2001 – 2003 ,
Chery ,Bonus (A13) ,2011 – 2014 ,
Mercedes-Benz ,S-Class ,II (W126) Restyling 1985 – 1991 ,
Volkswagen ,Multivan ,T6 2015 – now ,
Ford ,Ranger ,III 2011 – 2015 ,
Volkswagen ,Polo ,IV Restyling 2005 – 2009 ,
Mazda ,6 MPS ,2005 – 2008 ,
Kia ,Opirus ,I 2003 – 2007 ,
Chevrolet ,Blazer K5 ,II 1972 – 1991 ,
BMW ,Z4 ,I (E85/E86) Restyling 2005 – 2009 ,
Jeep ,Wrangler ,I (YJ) 1986 – 1996 ,
Mercedes-Benz ,CLK-Class ,II (W209) Restyling 2005 – 2010 ,
Subaru ,Impreza ,II Restyling 2 2005 – 2007 ,
Subaru ,Impreza WRX STi ,III 2007 – 2014 ,
Mazda ,MPV ,II (LW) Restyling 2003 – 2006 ,
Mercedes-Benz ,W123 ,1975 – 1985 ,
Dodge ,Nitro ,2006 – 2011 ,
Chevrolet ,Suburban ,X 2000 – 2006 ,
Fiat ,500,II 2007 – 2015 ,
Mitsubishi ,Pajero Mini ,II 1998 – 2012 ,
Chevrolet ,Impala ,VII 1994 – 1996 ,
Nissan ,Juke Nismo ,I 2013 – 2014 ,
Chrysler ,Town & Country ,IV Restyling 2004 – 2007 ,
Kia ,Ceed GT ,I Restyling 2015 – 2018 ,
Mercedes-Benz ,CLS ,I (C219) 2004 – 2008 ,
Dodge ,Durango ,I 1998 – 2003 ,
Nissan ,Silvia ,VI (S14) 1993 – 1999 ,
Subaru ,Impreza WRX ,II 2000 – 2002 ,
Dodge ,Caliber ,I Restyling 2009 – 2013 ,
BMW ,7 series ,I (E23) 1977 – 1986 ,
Mitsubishi ,Pajero ,II 1991 – 1997 ,
BMW ,7 series ,III (E38) 1994 – 1998 ,
Chrysler ,Town & Country ,V 2007 – 2010 ,
Acura ,RDX ,II 2013 – 2015 ,
Opel ,Astra OPC ,J 2012 – 2015 ,
Jeep ,Cherokee ,II (XJ) 1984 – 1996 ,
Subaru ,Legacy ,V 2009 – 2012 ,
Ferrari ,488,2015 – now ,
Opel ,Insignia OPC ,I 2009 – 2013 ,
Porsche ,911,VIII (992) 2018 – now ,
Volkswagen ,Transporter ,T6 2015 – 2019 ,
ZIL,4104,1978 – 2002 ,
Toyota ,Caldina ,I 1992 – 1995 ,
Mazda ,MX-5 ,III (NC) Restyling 2008 – 2015 ,
Cadillac ,Escalade ,II 2001 – 2006 ,
Skoda ,Superb ,I 2001 – 2006 ,
Toyota ,Land Cruiser ,70 Series 1984 – 2007 ,
Mercedes-Benz ,G-Class ,I (W460, W461) 1979 – 2009 
Subaru ,Outback ,V Restyling 2017 – now ,
Mercedes-Benz ,C-Class ,I (W202) 1993 – 1997 ,
Hyundai ,Starex ,I Restyling 2000 – 2004 ,
Subaru ,Impreza WRX STi ,II Restyling 1 2002 – 2005 ,
Audi ,RS 5 ,I (8T) 2010 – 2015 ,
BMW ,M4 ,F82/F83 Restyling 2017 – now ,
Bentley ,Arnage ,I Restyling 2002 – 2009 ,
Nissan ,Primera ,II (P11) 1995 – 2000 ,
Lincoln ,Navigator ,II 2002 – 2006 ,
Honda ,Vezel ,2013 – now ,
Infiniti ,QX56 ,I 2004 – 2007 ,
BMW ,7 series ,IV (E65/E66) 2001 – 2005 ,
Mercedes-Benz ,R-Class ,I Restyling 2007 – 2010 ,
Mitsubishi ,L200 ,III 1996 – 2006 ,
Audi ,A4 allroad ,IV (B8) 2009 – 2011 ,
Toyota ,Corolla Levin ,VI (AE100/AE101) 1991 – 1995 ,
Nissan ,Patrol ,IV (Y60) 1987 – 1997 ,
Honda ,Civic ,V 1991 – 1997 ,
Chevrolet ,Corvette ,C3 1968 – 1982 ,
ICH,2126 «Oda» ,1990 – 2005 ,
Audi ,S8 ,III (D4) 2012 – 2013 ,
Subaru ,Impreza WRX STi ,I 1994 – 2000 ,
Volvo ,XC70 ,I 2000 – 2004 ,
Nissan ,Skyline ,VIII (R32) 1989 – 1994 ,
Toyota ,Crown ,VIII (S130) 1987 – 1999 ,
Lifan ,Solano ,II 2016 – now ,
Moskvich ,Svyatogor ,1997 – 2002 ,
Audi ,A3 ,II (8P) Restyling 1 2004 – 2008 ,
Volvo ,C70 ,II 2005 – 2009 ,
Honda ,Fit ,III 2013 – now ,
Audi ,A6 ,I (C4) 1994 – 1997 ,
Opel ,Frontera ,B 1998 – 2001 ,
Land Rover ,Discovery ,I 1989 – 1998 ,
Mercedes-Benz ,A-Class ,I (W168) 1997 – 2001 ,
Toyota ,MR2 ,II (W20) 1989 – 2000 ,
Chrysler ,Crossfire ,2003 – 2007 ,
Ford ,Crown Victoria ,I 1992 – 1997 ,
Jaguar ,X-Type ,I Restyling 2008 – 2009 ,
Daihatsu ,Atrai ,IV 1999 – 2005 ,
Hyundai ,H-1 ,I Restyling 2004 – 2007 ,
Opel ,Calibra ,1990 – 1997 ,
Mitsubishi ,Pajero ,II Restyling 1997 – 2004 ,
Hyundai ,i30 ,II Restyling 2015 – 2017 ,
Mercedes-Benz ,CLK-Class ,I (W208) 1997 – 2000 ,
Lincoln ,Town Car ,I 1980 – 1989 ,
Mercedes-Benz ,M-Class ,I (W163) Restyling 2001 – 2005 ,
Mercedes-Benz ,CLS ,I (C219) Restyling 2008 – 2010 ,
Fiat ,Bravo ,II 2007 – 2014 ,
Ford ,Escape ,III 2012 – 2015 ,
Ford ,Mustang ,IV 1993 – 1998 ,
Cadillac ,CTS ,I 2002 – 2007 ,
Toyota ,RAV4 ,I (XA10) 1994 – 2000 ,
BMW ,6 series ,II (E63/E64) Restyling 2007 – 2010 ,
Audi ,TT ,I (8N) 1998 – 2003 ,
Subaru ,Impreza WRX ,II Restyling 2 2005 – 2007 ,
Honda ,Stream ,I Restyling 2003 – 2006 ,
Audi ,A6 allroad ,I (C5) 2000 – 2006 ,
Citroen ,C-Elysee ,I 2012 – 2016 ,
Toyota ,Noah ,I (R60) 2001 – 2007 ,
Mercedes-Benz ,Citan ,2012 – now ,
Toyota ,Grand HiAce ,I 1999 – 2002 ,
Volkswagen ,Golf ,II 1983 – 1992 ,
BMW ,2 series ,F22 Restyling 2017 – now ,
Rover ,75,I 1999 – 2004 ,
BMW ,7 series ,II (E32) 1986 – 1994 ,
Jaguar ,XJ ,II (X308) 1997 – 2003 ,
Rover ,25,1999 – 2005 ,
Chevrolet ,Avalanche ,I 2001 – 2006 ,
Ford ,Ranger ,I 1998 – 2006 ,
ICH,2125 «Kombi» ,1973 – 1997 ,
Toyota ,4Runner ,IV 2002 – 2005 ,
Suzuki ,Vitara ,I 1988 – 2006 ,
Jeep ,Cherokee ,II (XJ) Restyling 1997 – 2001 ,
Mitsubishi ,Airtrek ,2001 – 2008 ,
Toyota ,Land Cruiser ,80 Series Restyling 1995 – 1997 ,
Honda ,Stepwgn ,IV Restyling 2012 – 2015 ,
Toyota ,Caldina ,III 2002 – 2004 ,
Hyundai ,Coupe ,II (GK) Restyling 2006 – 2009 ,
Toyota ,4Runner ,II 1987 – 1995 ,
BMW ,6 series ,II (E63/E64) 2003 – 2007 ,
Mercedes-Benz ,W188 ,1951 – 1958 ,
Toyota ,Crown ,X (S150) 1995 – 2008 ,
Ford ,Model A ,1927 – 1931 ,
Nissan ,Skyline ,IX (R33) 1993 – 1998 ,
Mercedes-Benz ,SLS AMG ,2010 – 2014 ,
Honda ,Legend ,II 1990 – 1996 ,
Subaru ,XV ,I 2011 – 2016 ,
Subaru ,XV ,II 2017 – now ,
Mitsubishi ,Colt ,V (CJ) 1995 – 2003 ,
Toyota ,Land Cruiser ,60 Series 1980 – 1990 ,
Mercedes-Benz ,SL-Class ,IV (R129) 1989 – 1995 ,
BMW ,Z3 ,I 1995 – 2000 ,
Maserati ,Ghibli ,III Restyling 2016 – now ,
Mazda ,323,V (BA) 1994 – 2000 ,
Mercedes-Benz ,A-Class ,II (W169) Restyling 2008 – 2012 ,
Subaru ,Forester ,II 2002 – 2005 ,
Smart ,Roadster ,2002 – 2006 ,
Volkswagen ,Golf GTI ,IV 1998 – 2005 ,
Infiniti ,G ,III 2002 – 2007 ,
Mitsubishi ,Delica ,III 1986 – 1999 ,
Toyota ,Mark II ,IX (X110) 2000 – 2007 ,
Rolls-Royce ,Silver Cloud ,II 1959 – 1962 ,
Volvo ,850,1991 – 1997 ,
Audi ,S4 ,IV (B8) 2008 – 2011 ,
Chrysler ,Sebring ,II Restyling 2003 – 2006 ,
Audi ,A4 ,IV (B8) Restyling 2011 – 2015 ,
Toyota ,Chaser ,V (X90) 1992 – 1994 ,
Audi ,100,III (C3) 1982 – 1988 ,
Subaru ,Legacy ,IV Restyling 2006 – 2009 ,
Mercedes-Benz ,SL-Class ,VI (R231) 2012 – 2016 ,
Honda ,HR-V ,I 1998 – 2001 ,
Volvo ,V50 ,I Restyling 2007 – 2012 ,
Race car ,Formula ,1950 – now ,
Chevrolet ,Camaro ,V Restyling 2013 – 2015 ,
Audi ,S3 ,II (8P) Restyling 2008 – 2012 ,
Moskvich ,412,1967 – 1977 ,
BMW ,M3 ,III (E46) 1999 – 2006 ,
Toyota ,Avensis ,I 1997 – 2000 ,
Ford ,Taurus ,II 1991 – 1995 ,
Scion ,tC ,I 2004 – 2007 ,
Nissan ,Note ,II Restyling 2016 – now ,
Lexus ,LS ,IV Restyling 2 2012 – 2017 ,
Volkswagen ,Sharan ,II 2010 – 2015 ,
SEAT ,Leon ,II 2005 – 2009 ,
Ford ,Scorpio ,I 1985 – 1994 ,
Lexus ,LS ,IV Restyling 2009 – 2012 ,
Jaguar ,S-Type ,I Restyling 2004 – 2008 ,
Volkswagen ,Type 1 ,1938 – 2003 ,
Chrysler ,Sebring ,III 2006 – 2010 ,
